miRDeep2 score	novel miRNAs reported by miRDeep2	novel miRNAs, estimated false positives	novel miRNAs, estimated true positives	known miRNAs in species	known miRNAs in data	known miRNAs detected by miRDeep2	estimated signal-to-noise	excision gearing
10	0	0 +/- 0	0 +/- 0 (0 +/- 0%)	1030	146	14 (10%)	33.3	1
9	0	0 +/- 0	0 +/- 0 (0 +/- 0%)	1030	146	14 (10%)	32.5	1
8	0	0 +/- 0	0 +/- 0 (0 +/- 0%)	1030	146	15 (10%)	32.6	1
7	0	0 +/- 0	0 +/- 0 (0 +/- 0%)	1030	146	18 (12%)	35.6	1
6	0	0 +/- 0	0 +/- 0 (0 +/- 0%)	1030	146	21 (14%)	37.3	1
5	2	0 +/- 0	2 +/- 0 (84 +/- 25%)	1030	146	63 (43%)	23.6	1
4	2	1 +/- 1	1 +/- 1 (59 +/- 39%)	1030	146	69 (47%)	13.5	1
3	3	5 +/- 2	0 +/- 1 (8 +/- 20%)	1030	146	73 (50%)	5.9	1
2	5	7 +/- 2	0 +/- 1 (7 +/- 15%)	1030	146	81 (55%)	5	1
1	8	9 +/- 3	1 +/- 1 (8 +/- 15%)	1030	146	93 (64%)	4.8	1
0	35	14 +/- 3	21 +/- 3 (60 +/- 9%)	1030	146	118 (81%)	5.1	1
-1	66	24 +/- 5	42 +/- 5 (63 +/- 7%)	1030	146	130 (89%)	4.6	1
-2	69	122 +/- 9	0 +/- 0 (0 +/- 0%)	1030	146	130 (89%)	1.4	1
-3	73	184 +/- 11	0 +/- 0 (0 +/- 0%)	1030	146	132 (90%)	1	1
-4	118	223 +/- 11	0 +/- 0 (0 +/- 0%)	1030	146	135 (92%)	1	1
-5	183	256 +/- 12	0 +/- 0 (0 +/- 0%)	1030	146	136 (93%)	1.2	1
-6	213	293 +/- 13	0 +/- 0 (0 +/- 0%)	1030	146	137 (94%)	1.1	1
-7	241	316 +/- 13	0 +/- 0 (0 +/- 0%)	1030	146	137 (94%)	1.1	1
-8	270	332 +/- 13	0 +/- 0 (0 +/- 0%)	1030	146	137 (94%)	1.2	1
-9	285	345 +/- 13	0 +/- 0 (0 +/- 0%)	1030	146	138 (95%)	1.2	1
-10	307	354 +/- 13	0 +/- 0 (0 +/- 0%)	1030	146	138 (95%)	1.2	1
