miRDeep2 score	novel miRNAs reported by miRDeep2	novel miRNAs, estimated false positives	novel miRNAs, estimated true positives	known miRNAs in species	known miRNAs in data	known miRNAs detected by miRDeep2	estimated signal-to-noise	excision gearing
10	0	0 +/- 0	0 +/- 0 (0 +/- 0%)	793	161	12 (7%)	54.5	1
9	0	0 +/- 0	0 +/- 0 (0 +/- 0%)	793	161	12 (7%)	48	1
8	0	0 +/- 0	0 +/- 0 (0 +/- 0%)	793	161	12 (7%)	44.4	1
7	0	0 +/- 0	0 +/- 0 (0 +/- 0%)	793	161	14 (9%)	46.7	1
6	0	0 +/- 0	0 +/- 0 (0 +/- 0%)	793	161	15 (9%)	48.4	1
5	1	0 +/- 0	1 +/- 0 (85 +/- 36%)	793	161	51 (32%)	24.6	1
4	1	1 +/- 1	1 +/- 1 (50 +/- 50%)	793	161	57 (35%)	14.9	1
3	2	3 +/- 2	0 +/- 1 (14 +/- 28%)	793	161	63 (39%)	7.2	1
2	4	4 +/- 2	1 +/- 1 (19 +/- 28%)	793	161	73 (45%)	6.5	1
1	4	5 +/- 2	0 +/- 1 (9 +/- 21%)	793	161	88 (55%)	5.9	1
0	30	9 +/- 3	21 +/- 3 (69 +/- 10%)	793	161	114 (71%)	6.2	1
-1	59	20 +/- 4	39 +/- 4 (66 +/- 7%)	793	161	125 (78%)	5	1
-2	63	115 +/- 8	0 +/- 0 (0 +/- 0%)	793	161	127 (79%)	1.5	1
-3	68	175 +/- 10	0 +/- 0 (0 +/- 0%)	793	161	129 (80%)	1	1
-4	122	221 +/- 11	0 +/- 0 (0 +/- 0%)	793	161	141 (88%)	1.1	1
-5	188	262 +/- 12	0 +/- 0 (0 +/- 0%)	793	161	144 (89%)	1.2	1
-6	233	332 +/- 14	0 +/- 0 (0 +/- 0%)	793	161	144 (89%)	1.1	1
-7	260	373 +/- 15	0 +/- 0 (0 +/- 0%)	793	161	144 (89%)	1	1
-8	322	402 +/- 16	0 +/- 0 (0 +/- 0%)	793	161	144 (89%)	1.1	1
-9	349	426 +/- 17	0 +/- 0 (0 +/- 0%)	793	161	145 (90%)	1.1	1
-10	378	446 +/- 18	0 +/- 0 (0 +/- 0%)	793	161	145 (90%)	1.1	1
